"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182S"
"MAP4K4",0.549856859492144,0.81616747347106,0.109945064752864,0.615285869852983,0.178689402991059,12,22.6140081800652,13.8511867071524,14,"MAP4K4",1,1
"HIST1H2AD;H2AFJ",0.754061446150619,0.941563541109262,-0.520910288449073,-0.320554346223323,1.62502956077896,12,22.4444050661073,4.001,1,"HIST1H2AD;H2AFJ",4,4
"ARPC1A",0.862641861514206,0.941563541109262,0.155320798318208,0.176764247692159,0.878688990257261,12,20.8575010585018,4.001,0,"ARPC1A",4,5
"RPS10;RPS10-NUDT3",0.0290486898417015,0.182420973717368,2.11899696656317,2.47829516239557,0.855022032369585,12,21.3485681502204,4.001,1,"RPS10;RPS10-NUDT3",3,5
"USP19",0.496450874620296,0.781352966603486,-1.39265784880259,-0.701367220781199,1.98563292885489,12,20.4707219384049,4.001,1,"USP19",3,5
"EPB41L2",0.986099192436303,0.993912528703795,-0.00245376715922418,-0.0177894368246457,0.137933942676853,12,24.7073432385196,16,16,"EPB41L2",0,0
"PKM",0.459829175408964,0.758617740041514,0.187706523485552,0.763646667421129,0.245802845076828,12,23.0021105049768,16.0000000317436,16,"PKM",0,0
"EPB41L2",0.862591820669099,0.941563541109262,0.154927325625064,0.176829375347234,0.876140207591855,12,20.8100026251736,4.001,1,"EPB41L2",4,5
"HIST1H2BK;H2BFS",0.062527871851833,0.274049071758962,-2.45285025811665,-2.05310574928483,1.194702347393,12,24.4407565770615,16,16,"HIST1H2BK;H2BFS",0,0
"USP19",0.857365545147794,0.941563541109262,0.0396954791923356,0.183635842921474,0.216164113502123,12,21.7125264472018,8.00965073508875,8,"USP19",3,1
"TP53",0.994470456156336,0.995226315463307,0.0141743914130465,0.00707604499559212,2.0031516789218,12,24.070094036956,16.0000000000602,16,"TP53",0,0
"HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ",0.798719258596098,0.941563541109262,-0.435353990529052,-0.260732563490163,1.66973386331729,12,22.6130435230317,4.001,1,"HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ",4,4
"HIST1H2BO;HIST1H2BB",0.112477279359446,0.354115967849989,-2.49733113619661,-1.71261769739599,1.45819533454183,12,24.594003558392,11.4547682353792,13,"HIST1H2BO;HIST1H2BB",2,0
"HIST1H2BC",0.786512721417706,0.941563541109262,-0.320732019989116,-0.276974858786972,1.15798242986306,12,20.738710274634,4.001,1,"HIST1H2BC",3,5
"HIST1H2BH;HIST2H2BF",0.655851320598812,0.888102612624485,-0.944557670539005,-0.456974537849526,2.06698096349962,12,25.0099791077564,16.0000006862041,16,"HIST1H2BH;HIST2H2BF",0,0
"HIST1H2AC",0.0209332462189325,0.152721225796747,-3.36551230482315,-2.65632002375276,1.26698299705186,12,22.8358438467204,5.84485613068316,7,"HIST1H2AC",4,1
"HIST1H2BL",0.786914177166853,0.941563541109262,0.248042399654761,0.27643944490887,0.897275711635616,12,20.5331358186059,4.57221159463204,3,"HIST1H2BL",4,3
"EPPK1",0.862591894928823,0.941563541109262,0.154927912609125,0.176829278698352,0.87614400595623,12,20.7973419239714,4.001,1,"EPPK1",4,5
"",0.722660633137939,0.931812925595609,0.0248009592387177,0.363354279942625,0.0682555858228336,12,29.9075586206699,16.0000000000696,16,"",0,0
"DDX17",0.145234090397103,0.403451759941365,-0.307796269606953,-1.55786937381113,0.19757514640266,12,23.9469793489809,11.630183962438,13,"DDX17",1,1
"TPM4",0.505856181680913,0.785824282232931,0.654189929342881,0.68582787660223,0.953868968674631,12,20.9824422111109,4.001,1,"TPM4",3,5
"CUX1",0.121907967788059,0.368849843614603,1.01835205408931,1.66438812175146,0.611847705941139,12,21.0735029848872,3.14638249216887,3,"CUX1",1,5
"SEC23B",0.0905365014720248,0.315541423027038,-1.26778751046137,-1.84054954380944,0.688809228051198,12,21.7878895708865,3.86173634914167,4,"SEC23B",4,4
"EEF1A2",0.127764720260777,0.377695706686398,1.81600925506671,1.63606910256424,1.10998322272601,12,21.3668642655258,2.11682280728106,1,"EEF1A2",3,5
"CAND2",0.889254172586484,0.952522119249218,0.147700744528372,0.142235500634237,1.03842390872718,12,20.8558207760201,4.001,1,"CAND2",3,5
"",0.115634369435909,0.359439836558874,1.4936144832086,1.69608587361896,0.880624328308127,12,21.1922772421399,4.001,1,"",3,5
"DBNL",0.71311435168719,0.927736233014533,-0.461599950433161,-0.376504853082135,1.22601328151396,12,20.7034920535622,4.001,1,"DBNL",3,5
"SMAD2;SMAD3;SMAD9",0.168422762100784,0.435822736449837,1.30773060304606,1.46575346962261,0.892190010222363,12,21.1458141455218,4.001,1,"SMAD2;SMAD3;SMAD9",3,5
"NAP1L1",0.695889790371746,0.921188377023286,-0.0368025815888444,-0.400412197488015,0.0919117395017568,12,26.7923595260839,16.0000004864603,16,"NAP1L1",0,0
"KIF2A",0.17127160195615,0.439226736933595,1.29916077995253,1.45519489604548,0.892774420445691,12,21.1436719976388,4.001,1,"KIF2A",3,5
"TP53",0.722203935483455,0.931812925595609,-0.0583711508705136,-0.363981858160552,0.160368297380267,12,26.4001333093183,14.0467542935454,15,"TP53",1,0
"CYFIP2",0.862594075802568,0.941563541109262,0.154946241906707,0.176826440296338,0.876261726736326,12,20.3779901747498,4.001,1,"CYFIP2",4,5
"FAM98A",0.151908779562146,0.414734533930939,1.35988291736633,1.5301337539489,0.888734670323304,12,21.1588502513055,4.001,1,"FAM98A",3,5
"AMPD2",0.186388782900555,0.460246288757056,-0.328978105935757,-1.40152127189084,0.234729299179256,12,22.3680149483278,10.8277427662373,11,"AMPD2",3,1
"HSPA8",0.039474675245309,0.212464208138705,1.98347429879557,2.31002129531842,0.858638967015308,12,21.3147063699385,4.001,1,"HSPA8",3,5
"BCLAF1",0.0291761507622748,0.182420973717368,0.209020064212648,2.4759055916658,0.0844216616805726,12,27.0542643568521,16.0000000000002,16,"BCLAF1",0,0
"EEF1D",0.0181774447609722,0.143020388400876,-0.316042580695747,-2.7326393157693,0.115654700154518,12,24.0061911198449,14.9083262351639,15,"EEF1D",1,0
"TUBA1C",0.507341562278958,0.787484150488867,0.151427530100229,0.683389548057262,0.221583034933306,12,22.9649328034273,14.8347956541956,15,"TUBA1C",0,1
"DDX19A;DDX19B",0.849244692180092,0.941563541109262,0.19958468423869,0.194230473057067,1.02756627782114,12,20.8687918997948,4.001,1,"DDX19A;DDX19B",3,5
"SMARCC2",0.496648607810552,0.781352966603486,-1.41718910550173,-0.701038720592899,2.02155610506528,12,20.4645890288649,4.001,1,"SMARCC2",3,5
"NAP1L1",0.862592668641314,0.941563541109262,0.154934428318491,0.176828271713201,0.876185843006939,12,20.71098674948,4.001,1,"NAP1L1",4,5
"RPS27L",0.180447993399834,0.451478489446737,-0.205656546287567,-1.42216250888495,0.144608330625178,12,22.5445312474629,12.715734359698,13,"RPS27L",2,0
"PDIA3",0.862608200194576,0.941563541109262,0.155062121364281,0.176808057470862,0.877008229049944,12,21.2297752266723,4.001,1,"PDIA3",4,5
"MLLT4",0.0142013468527907,0.138853482792765,-0.264464596428581,-2.86575290256725,0.0922845079182032,12,23.5716007190723,16.0000000009485,16,"MLLT4",0,0
"TOR1AIP1",0.241213962821549,0.532927690958954,-0.32870102025139,-1.23291836840148,0.266604041821165,12,21.788051831892,11.9359432240786,12,"TOR1AIP1",2,1
"TRIM28",0.738126954824141,0.938892187034059,-0.414736948279632,-0.342189367505884,1.21201003789956,12,20.7152081373226,4.001,1,"TRIM28",3,5
"DDX39A",0.742296959637229,0.939171461488395,-0.404626085485468,-0.336511365531479,1.20241432216237,12,20.7177359314993,4.001,1,"DDX39A",3,5
"DDX3X",0.109933297830485,0.350257281786359,1.51782361184063,1.72624188962184,0.879264731649593,12,21.1983283149668,4.001,1,"DDX3X",3,5
"AP2A1;AP2A2",0.781394251971296,0.941563541109262,-0.333499474132211,-0.283808822405471,1.17508494382091,12,20.7355180895792,4.001,1,"AP2A1;AP2A2",3,5
"KRT6B",0.501512307351884,0.782939461642735,-1.53775780239006,-0.692983111043032,2.21904080761151,12,20.4344464314856,4.001,1,"KRT6B",3,5
"ZNF468;ZNF28;ZNF888",0.862641861514206,0.941563541109262,0.155320798318208,0.176764247692159,0.878688990257261,12,20.8575010585018,4.001,0,"ZNF468;ZNF28;ZNF888",4,5
"SLC25A4",0.53936498490937,0.809210111634725,-0.928278925230742,-0.631804235714057,1.46925087354252,12,20.5868193088161,4.001,1,"SLC25A4",3,5
"H2AFX",0.117911329309948,0.363447121326949,-1.88940284347295,-1.68440942114831,1.12170047243317,12,21.4683004723437,2.63585776728785,2,"H2AFX",4,3
"PPM1A",0.541774136906378,0.810301935563063,-0.949014014286842,-0.627995419681478,1.51117983435004,12,20.5816351563917,4.001,1,"PPM1A",3,5
"CUX1",0.862641861514206,0.941563541109262,0.155320798318208,0.176764247692159,0.878688990257261,12,20.8575010585018,4.001,0,"CUX1",4,5
"ZNF121",0.678146744638355,0.907699334450503,-0.537984953846028,-0.425297897092677,1.26496029612108,12,20.6843952563312,4.001,1,"ZNF121",3,5
"HIST1H2BD;HIST1H2BN;HIST1H2BM",0.490356683873639,0.780103306979517,-1.50293691312772,-0.711530670782172,2.11225878917569,12,20.4431518733745,4.001,1,"HIST1H2BD;HIST1H2BN;HIST1H2BM",3,5
