"","name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_wtdia"
"116","EIF5A;EIF5A2;EIF5AL1",1.55784455721851e-10,1.8392302303661e-08,-2.02559070000018,-19.8114548518143,0.102243409943953,12,27.0879504164716,16.0000000004327,16,"EIF5A;EIF5A2;EIF5AL1",4,4
"117","MBD3",4.09579574215449e-09,2.64335846188559e-07,-1.02627728186938,-14.9313186511568,0.0687331980414115,12,25.0441052568567,16.0000000000109,16,"MBD3",4,4
"118","RBM25",1.04452766221476e-07,3.3779483642907e-06,-1.82226138500406,-11.1946536913055,0.162779612058865,12,23.641804386932,16.0000000001354,16,"RBM25",4,4
"119","IRF2BPL",7.46963535276159e-06,9.86723159536129e-05,-2.59547899501669,-7.47604072898912,0.347172934057523,12,22.1170228664382,13.9729573508595,14,"IRF2BPL",3,4
"120","TPM3;DKFZp686J1372",3.89299576065375e-06,5.71119836037382e-05,-4.66135167627279,-7.97284945326058,0.584653166173416,12,24.1631237784237,12.1175472047226,12,"TPM3;DKFZp686J1372",0,4
"121","YWHAZ",4.8391695749827e-11,7.03168563626333e-09,-2.00629845015603,-21.8935402674717,0.0916388316208908,12,26.3318192413733,16.0000000000005,16,"YWHAZ",4,4
"122","PPP5C",1.09581299453045e-07,3.44998457778004e-06,-1.67484505029633,-11.1460748980978,0.150263215132546,12,24.497224719724,16.0000000187884,16,"PPP5C",4,4
"123","KIF4A",8.154155825235e-09,4.40091438681969e-07,-1.23373019348219,-14.0559106230224,0.0877730533844917,12,25.3858077604288,16.0000001411719,16,"KIF4A",4,4
"124","NASP",1.27414861458471e-06,2.61615949233751e-05,-2.0826823341667,-8.87853884559986,0.234574896881694,12,24.5037782308338,14.4195008195912,15,"NASP",3,4
"125","PSME3",1.46153860564708e-10,1.8392302303661e-08,-3.43669415864567,-19.9200736798168,0.172524169030949,12,25.042879106414,12.8465480717491,13,"PSME3",1,4
"126","UBXN1",3.99077190022895e-08,1.53848328970051e-06,-1.37802869612011,-12.2084147019256,0.112875318357489,12,25.6519228203005,16.0000002164825,16,"UBXN1",4,4
"127","MCMBP",1.04653344271148e-07,3.3779483642907e-06,-1.66077170361449,-11.192705957644,0.148379820742121,12,25.0160268230947,16.0000000000085,16,"MCMBP",4,4
"128","CHD1",0.00014591058930646,0.000921823087625096,-1.06166472936641,-5.45741476579665,0.194536199817577,12,23.5673581388771,16.0000000000027,16,"CHD1",4,4
"129","UBA1",2.45822816407483e-06,4.0379069582064e-05,-1.55955983672612,-8.33702964113918,0.187064206780609,12,24.4050975649876,16.0000000000069,16,"UBA1",4,4
"130","CBX3",1.17981219689955e-11,2.47629471104806e-09,-3.07664348344727,-24.6859536253469,0.124631340159703,12,27.359063644258,16.0000000000023,16,"CBX3",4,4
