"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182S"
"TP53",0.994470456156336,0.995226315463307,0.0141743914130465,0.00707604499559212,2.0031516789218,12,24.070094036956,16.0000000000602,16,"TP53",0,0
"TP53",0.722203935483455,0.931812925595609,-0.0583711508705136,-0.363981858160552,0.160368297380267,12,26.4001333093183,14.0467542935454,15,"TP53",1,0
"TP53",0.843829887954199,0.941563541109262,-0.0354258180394602,-0.201307763952944,0.175978399162692,12,28.1352117734457,16.0000000004384,16,"TP53",0,0
"TP53",0.198333086749069,0.477871429679835,-0.361446456911345,-1.36162582416829,0.265452116503536,12,25.0815174317251,16.0000000000913,16,"TP53",0,0
"TP53BP1",0.0938764288141982,0.323010153060147,0.302922047983863,1.81938442960517,0.166496999234846,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,0
"TP53RK",0.217184575432145,0.498495337778034,0.176570465826625,1.30251275146372,0.135561410533756,12,24.7469903179812,16.0000001143741,16,"TP53RK",0,0
"TP53BP2",0.795540428159493,0.941563541109262,-0.0367008165318801,-0.264955072854734,0.138517130985455,12,22.8066772898056,16.0000000000165,16,"TP53BP2",0,0
